UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency
1,User_1,62,Female,Location_1,2023-06-10,0.974813559322034,Clothing,0.009333333333333341,Monthly
2,User_2,65,Female,Location_2,2023-08-14,0.9936223175965666,Electronics,0.257,Weekly
3,User_3,18,Male,Location_3,2023-02-17,0.9965799769850403,Home & Garden,0.009333333333333341,Weekly
4,User_4,21,Female,Location_4,2023-03-14,0.9938847736625515,Books,-0.486,Weekly
5,User_5,21,Male,Location_5,2023-07-26,0.9960531208499336,Home & Garden,-1.972,Monthly
6,User_6,57,Female,Location_6,2023-02-20,0.995275039745628,Books,-0.486,Monthly
7,User_7,27,Female,Location_7,2023-01-27,0.9736991150442479,Home & Garden,-1.972,Weekly
8,User_8,37,Female,Location_8,2023-03-11,0.9727339449541285,Home & Garden,-1.972,Daily
9,User_9,39,Female,Location_9,2023-01-06,0.9929905660377359,Food,-0.486,Weekly
10,User_10,68,Female,Location_10,2023-10-04,0.9961201044386423,Home & Garden,-0.486,Monthly
11,User_11,54,Male,Location_11,2023-03-22,0.9968616684266104,Books,0.257,Daily
12,User_12,41,Male,Location_12,2023-03-23,0.9961302083333333,Food,-0.486,Daily
13,User_13,24,Female,Location_13,2023-11-10,0.9926253101736974,Home & Garden,0.4056,Daily
14,User_14,42,Female,Location_14,2023-03-09,0.9966830357142857,Food,0.009333333333333341,Weekly
15,User_15,42,Male,Location_15,2023-08-16,0.9964192771084338,Home & Garden,0.257,Daily
16,User_16,30,Male,Location_16,2023-06-03,0.9903818770226538,Clothing,-1.972,Daily
17,User_17,19,Female,Location_17,2023-04-03,0.9965401629802095,Food,0.4056,Monthly
18,User_18,56,Female,Location_18,2023-08-26,0.9968912133891213,Books,-0.486,Weekly
19,User_19,57,Female,Location_19,2023-07-18,0.9927512195121951,Clothing,-0.486,Daily
20,User_20,41,Female,Location_20,2023-11-24,0.9598378378378379,Home & Garden,0.4056,Daily
21,User_21,64,Male,Location_21,2023-06-22,0.9963034825870647,Home & Garden,0.009333333333333341,Monthly
22,User_22,42,Male,Location_22,2023-11-14,0.979503448275862,Clothing,0.4056,Monthly
23,User_23,35,Male,Location_23,2023-06-01,0.9933660714285715,Electronics,-1.972,Daily
24,User_24,55,Male,Location_24,2023-11-17,0.9965441860465116,Clothing,0.4056,Daily
25,User_25,43,Male,Location_25,2023-09-01,0.9969170124481328,Books,0.257,Daily
26,User_26,31,Male,Location_26,2023-07-08,0.991284457478006,Home & Garden,0.4056,Daily
27,User_27,26,Female,Location_27,2023-12-10,0.9907987616099072,Food,0.4056,Weekly
28,User_28,27,Female,Location_28,2023-05-15,0.9958022598870057,Electronics,-1.972,Daily
29,User_29,38,Male,Location_29,2023-01-18,0.9969735234215886,Food,-1.972,Weekly
30,User_30,69,Male,Location_30,2023-02-14,0.9893476702508961,Clothing,0.009333333333333341,Weekly
31,User_31,34,Male,Location_31,2023-01-25,0.996961145194274,Home & Garden,-1.972,Daily
32,User_32,69,Male,Location_32,2023-02-13,0.9877190082644628,Books,-1.972,Daily
